movieId,title,genres,year,director,cast,content_type,runtime_minutes,poster_url,synopsis
1,Iron Voyage (2004),Comedy|Action|Romance,2004,L. Okafor,"Elias Foster, Felix Marchetti, Priya Anand",tv_show,28,https://picsum.photos/seed/movie1/300/450,"A comedy story set against a backdrop of war, directed by L. Okafor."
2,Midnight Inferno (1991),Drama,1991,K. Lindqvist,"Sofia Bellucci, Felix Marchetti, Lucas Reiner",movie,170,https://picsum.photos/seed/movie2/300/450,"A drama story set against a backdrop of betrayal, directed by K. Lindqvist."
3,Sacred Rebellion (2007),Documentary,2007,L. Okafor,"Sofia Bellucci, Layla Hassan, Elias Foster",movie,44,https://picsum.photos/seed/movie3/300/450,"A documentary story set against a backdrop of betrayal, directed by L. Okafor."
4,Frozen Odyssey (1997),Fantasy|Adventure,1997,E. Lindgren,"Zara Mensah, Priya Anand, Felix Marchetti",movie,180,https://picsum.photos/seed/movie4/300/450,"A fantasy story set against a backdrop of survival, directed by E. Lindgren."
5,Silent Voyage (2008),Drama|Animation,2008,M. Sorrento,"Marcus Webb, Elias Foster, Zara Mensah",movie,113,https://picsum.photos/seed/movie5/300/450,"A drama story set against a backdrop of love, directed by M. Sorrento."
6,Iron City (2000),Romance|Drama,2000,K. Lindqvist,"Marcus Webb, Daniel Cho, Ines Duarte",movie,162,https://picsum.photos/seed/movie6/300/450,"A romance story set against a backdrop of love, directed by K. Lindqvist."
7,Silent Rebellion (2015),Mystery|Adventure|Comedy,2015,S. Yamada,"Priya Anand, Sofia Bellucci, Layla Hassan",movie,147,https://picsum.photos/seed/movie7/300/450,"A mystery story set against a backdrop of discovery, directed by S. Yamada."
8,Hidden Voyage (2025),War|Crime|Anime,2025,K. Lindqvist,"Ava Solano, Kira Solberg, Lucas Reiner",anime,122,https://picsum.photos/seed/movie8/300/450,"A war story set against a backdrop of betrayal, directed by K. Lindqvist."
9,Quiet Sanctuary (1995),Crime,1995,N. Osei,"Jonah Pierce, Elias Foster, Nina Kowalski",tv_show,128,https://picsum.photos/seed/movie9/300/450,"A crime story set against a backdrop of survival, directed by N. Osei."
10,Distant Code (2019),Sci-Fi,2019,K. Lindqvist,"Ava Solano, Felix Marchetti, Maya Linden",tv_show,49,https://picsum.photos/seed/movie10/300/450,"A sci-fi story set against a backdrop of ambition, directed by K. Lindqvist."
11,Lost Echo (2000),Fantasy|Mystery|Adventure,2000,T. Adeyemi,"Maya Linden, Ava Solano, Rosa Delgado",tv_show,149,https://picsum.photos/seed/movie11/300/450,"A fantasy story set against a backdrop of war, directed by T. Adeyemi."
12,Rising Storm (2024),Horror|Drama|Animation,2024,N. Osei,"Rosa Delgado, Maya Linden, Layla Hassan",movie,48,https://picsum.photos/seed/movie12/300/450,"A horror story set against a backdrop of betrayal, directed by N. Osei."
13,Midnight Republic (1995),Family|Adventure,1995,M. Sorrento,"Sam Whitaker, Priya Anand, Felix Marchetti",tv_show,52,https://picsum.photos/seed/movie13/300/450,"A family story set against a backdrop of ambition, directed by M. Sorrento."
14,Quiet Code (2017),Documentary|Fantasy,2017,J. Whitfield,"Felix Marchetti, Sofia Bellucci, Theo Nakamura",movie,115,https://picsum.photos/seed/movie14/300/450,"A documentary story set against a backdrop of discovery, directed by J. Whitfield."
15,Midnight City (2011),War|Comedy|Anime,2011,A. Tarkov,"Kira Solberg, Felix Marchetti, Marcus Webb",tv_show,21,https://picsum.photos/seed/movie15/300/450,"A war story set against a backdrop of war, directed by A. Tarkov."
16,Silent Rebellion (1994),Adventure|Family|Musical,1994,K. Lindqvist,"Marcus Webb, Ava Solano, Sam Whitaker",movie,53,https://picsum.photos/seed/movie16/300/450,"A adventure story set against a backdrop of ambition, directed by K. Lindqvist."
17,Burning Echo (2002),Anime|Family|Sci-Fi,2002,M. Sorrento,"Elias Foster, Lucas Reiner, Owen Brandt",movie,139,https://picsum.photos/seed/movie17/300/450,"A anime story set against a backdrop of ambition, directed by M. Sorrento."
18,Silent Dynasty (2011),Comedy,2011,N. Osei,"Elias Foster, Marcus Webb, Sofia Bellucci",movie,134,https://picsum.photos/seed/movie18/300/450,"A comedy story set against a backdrop of love, directed by N. Osei."
19,Frozen Voyage (1994),Documentary|Fantasy,1994,T. Adeyemi,"Felix Marchetti, Elias Foster, Jonah Pierce",tv_show,158,https://picsum.photos/seed/movie19/300/450,"A documentary story set against a backdrop of war, directed by T. Adeyemi."
20,Broken Echo (2021),Family,2021,T. Adeyemi,"Sofia Bellucci, Zara Mensah, Jonah Pierce",movie,20,https://picsum.photos/seed/movie20/300/450,"A family story set against a backdrop of discovery, directed by T. Adeyemi."
21,Sacred Odyssey (2021),War|Horror,2021,L. Okafor,"Sofia Bellucci, Theo Nakamura, Tobias Kane",documentary,168,https://picsum.photos/seed/movie21/300/450,"A war story set against a backdrop of ambition, directed by L. Okafor."
22,Silent Republic (2020),Adventure|Mystery|Action,2020,K. Lindqvist,"Rosa Delgado, Daniel Cho, Jonah Pierce",documentary,40,https://picsum.photos/seed/movie22/300/450,"A adventure story set against a backdrop of love, directed by K. Lindqvist."
23,Midnight Dynasty (1997),Animation,1997,E. Lindgren,"Kira Solberg, Marcus Webb, Jonah Pierce",tv_show,127,https://picsum.photos/seed/movie23/300/450,"A animation story set against a backdrop of ambition, directed by E. Lindgren."
24,Iron Legacy (2010),Musical|Mystery|War,2010,J. Whitfield,"Ava Solano, Zara Mensah, Nina Kowalski",tv_show,96,https://picsum.photos/seed/movie24/300/450,"A musical story set against a backdrop of discovery, directed by J. Whitfield."
25,Frozen Code (2026),Animation|Action,2026,M. Sorrento,"Priya Anand, Felix Marchetti, Sofia Bellucci",movie,53,https://picsum.photos/seed/movie25/300/450,"A animation story set against a backdrop of betrayal, directed by M. Sorrento."
26,Rising Symphony (2000),Family,2000,T. Adeyemi,"Felix Marchetti, Theo Nakamura, Rosa Delgado",movie,161,https://picsum.photos/seed/movie26/300/450,"A family story set against a backdrop of betrayal, directed by T. Adeyemi."
27,Eternal Empire (2025),Comedy|Crime|Anime,2025,L. Okafor,"Ava Solano, Theo Nakamura, Sofia Bellucci",tv_show,72,https://picsum.photos/seed/movie27/300/450,"A comedy story set against a backdrop of ambition, directed by L. Okafor."
28,Silent City (2017),Fantasy|Anime|Crime,2017,F. Bianchi,"Ava Solano, Jonah Pierce, Maya Linden",movie,53,https://picsum.photos/seed/movie28/300/450,"A fantasy story set against a backdrop of ambition, directed by F. Bianchi."
29,Endless Echo (2025),Documentary|War,2025,A. Tarkov,"Elias Foster, Priya Anand, Nina Kowalski",movie,114,https://picsum.photos/seed/movie29/300/450,"A documentary story set against a backdrop of survival, directed by A. Tarkov."
